GISJOIN_proj,data_yr,pop,pop_white,pop_black,pop_indigenous,pop_asian,pop_other,pop_latino,Area,group_id
G21011100015001,2010,1165,181,957,0,0,27,0,Local Area,G21011100015001
G21011100015001,2020,883,105,760,0,0,18,0,Local Area,G21011100015001
G21011100015002,1990,970,19,947,0,0,0,4,Local Area,G21011100015002
G21011100015002,2010,774,0,774,0,0,0,0,Local Area,G21011100015002
G21011100015002,2020,820,15,621,0,0,184,0,Local Area,G21011100015002
G21011100015003,1990,1486,31,1437,1,5,0,12,Local Area,G21011100015003
G21011100015003,2010,960,57,895,0,0,8,0,Local Area,G21011100015003
G21011100015003,2020,1745,7,1601,0,0,137,0,Local Area,G21011100015003
G21011100018001,1990,1771,69,1691,4,0,0,7,Local Area,G21011100018001
G21011100018001,2010,1609,63,1488,0,0,45,13,Local Area,G21011100018001
G21011100018001,2020,988,27,930,0,0,7,24,Local Area,G21011100018001
G21011100024011,1990,966,142,808,6,0,3,8,Local Area,G21011100024011
G21011100024011,2010,877,62,778,12,0,25,0,Local Area,G21011100024011
G21011100024011,2020,343,137,206,0,0,0,0,Local Area,G21011100024011
G21011100024012,1990,1611,34,1570,0,0,0,8,Local Area,G21011100024012
G21011100024012,2010,1547,35,1349,0,0,163,0,Local Area,G21011100024012
G21011100024012,2020,1507,13,1494,0,0,0,0,Local Area,G21011100024012
G21011100024021,1990,646,67,567,4,0,3,5,Local Area,G21011100024021
G21011100024021,2010,788,42,704,0,0,42,0,Local Area,G21011100024021
G21011100024021,2020,1380,883,390,0,0,80,27,Local Area,G21011100024021
G21011100024022,1990,965,27,926,0,1,2,9,Local Area,G21011100024022
G21011100024022,2010,1605,127,1400,0,0,78,0,Local Area,G21011100024022
G21011100024022,2020,1599,21,1565,0,0,13,0,Local Area,G21011100024022
G21011100027001,1990,1706,407,1278,5,3,11,2,Local Area,G21011100027001
G21011100027001,2010,1030,102,818,0,0,105,5,Local Area,G21011100027001
G21011100027001,2020,1124,256,553,0,0,312,3,Local Area,G21011100027001
G21011100027002,1990,1184,58,1119,3,2,1,1,Local Area,G21011100027002
G21011100027002,2010,1340,67,1237,0,0,36,0,Local Area,G21011100027002
G21011100027002,2020,911,120,686,0,0,96,9,Local Area,G21011100027002
G21011100027003,1990,1217,44,1166,3,0,1,3,Local Area,G21011100027003
G21011100027003,2010,1056,65,918,0,10,63,0,Local Area,G21011100027003
G21011100027003,2020,997,116,881,0,0,0,0,Local Area,G21011100027003
G21011100028001,1990,1043,365,668,2,1,0,7,Local Area,G21011100028001
G21011100028001,2010,583,67,492,0,0,24,0,Local Area,G21011100028001
G21011100028001,2020,1003,45,954,0,0,4,0,Local Area,G21011100028001
G21011100028002,1990,1142,207,924,1,0,0,10,Local Area,G21011100028002
G21011100028002,2010,1017,188,794,0,0,35,0,Local Area,G21011100028002
G21011100028002,2020,696,129,487,0,0,30,50,Local Area,G21011100028002
G21011100030001,1990,2039,266,1758,3,3,0,9,Local Area,G21011100030001
G21011100030001,2010,2216,304,1787,0,0,125,0,Local Area,G21011100030001
G21011100030001,2020,620,238,281,0,0,82,19,Local Area,G21011100030001
G21011100030002,1990,1698,53,1635,2,0,2,6,Local Area,G21011100030002
G21011100030002,2010,1315,13,1284,0,0,18,0,Local Area,G21011100030002
G21011100030002,2020,1263,137,1068,0,1,57,0,Local Area,G21011100030002
G21011100035011,1990,620,194,421,3,1,0,0,Local Area,G21011100035011
G21011100035011,2010,1656,831,762,0,8,47,9,Local Area,G21011100035011
G21011100035011,2020,2951,2196,308,0,92,219,136,Local Area,G21011100035011
G21011100035021,1990,1646,388,1242,3,2,0,11,Local Area,G21011100035021
G21011100035021,2010,2385,665,1657,0,5,42,15,Local Area,G21011100035021
G21011100035021,2020,1769,205,1313,0,0,91,160,Local Area,G21011100035021
G21011100037001,1990,966,817,107,7,17,2,17,Local Area,G21011100037001
G21011100037001,2010,880,621,197,0,7,27,28,Local Area,G21011100037001
G21011100037001,2020,1006,477,350,6,0,33,140,Local Area,G21011100037001
G21011100037002,1990,1008,760,235,4,3,0,6,Local Area,G21011100037002
G21011100037002,2010,1011,419,415,0,46,37,94,Local Area,G21011100037002
G21011100037002,2020,607,206,250,0,0,54,97,Local Area,G21011100037002
G21011100039001,1990,1498,1174,306,0,1,1,16,Local Area,G21011100039001
G21011100039001,2010,1438,740,438,0,0,15,245,Local Area,G21011100039001
G21011100039001,2020,567,411,12,0,0,33,111,Local Area,G21011100039001
G21011100039002,1990,1082,1035,31,7,1,0,8,Local Area,G21011100039002
G21011100039002,2010,687,510,117,0,0,23,37,Local Area,G21011100039002
G21011100039002,2020,786,296,250,0,0,180,60,Local Area,G21011100039002
G21011100039003,1990,1504,1456,29,2,9,2,6,Local Area,G21011100039003
G21011100039003,2010,1872,1143,590,23,30,63,23,Local Area,G21011100039003
G21011100039003,2020,1986,829,1018,0,0,139,0,Local Area,G21011100039003
G21011100040001,1990,797,757,28,0,3,2,7,Local Area,G21011100040001
G21011100040001,2010,1032,605,313,0,0,84,30,Local Area,G21011100040001
G21011100040001,2020,1028,334,205,0,0,14,475,Local Area,G21011100040001
G21011100040002,1990,1050,1022,17,1,0,0,10,Local Area,G21011100040002
G21011100040002,2010,824,732,53,0,0,39,0,Local Area,G21011100040002
G21011100040002,2020,577,382,74,0,16,99,6,Local Area,G21011100040002
G21011100043011,1990,998,914,76,0,1,0,7,Local Area,G21011100043011
G21011100043011,2010,1294,635,652,0,0,7,0,Local Area,G21011100043011
G21011100043011,2020,954,370,560,0,0,24,0,Local Area,G21011100043011
G21011100043012,1990,638,161,467,1,2,0,7,Local Area,G21011100043012
G21011100043012,2010,634,92,412,5,0,16,109,Local Area,G21011100043012
G21011100043012,2020,620,18,343,0,182,77,0,Local Area,G21011100043012
G21011100043013,1990,1077,551,511,1,3,1,11,Local Area,G21011100043013
G21011100043013,2010,1250,286,822,0,0,129,13,Local Area,G21011100043013
G21011100043013,2020,1345,64,1052,0,0,48,181,Local Area,G21011100043013
G21011100043014,1990,923,472,438,0,2,0,10,Local Area,G21011100043014
G21011100043014,2010,1072,245,705,0,0,111,11,Local Area,G21011100043014
G21011100043014,2020,1166,237,792,0,16,95,26,Local Area,G21011100043014
G21011100043021,1990,3934,2386,1488,13,8,5,34,Local Area,G21011100043021
G21011100043021,2010,1561,654,667,11,0,132,97,Local Area,G21011100043021
G21011100043021,2020,1146,630,189,0,16,56,255,Local Area,G21011100043021
G21011100049001,1990,688,512,150,4,16,0,6,Local Area,G21011100049001
G21011100049001,2010,922,475,267,0,57,63,60,Local Area,G21011100049001
G21011100049001,2020,1130,412,239,0,224,32,223,Local Area,G21011100049001
G21011100049002,1990,855,164,673,0,2,0,16,Local Area,G21011100049002
G21011100049002,2010,875,218,608,0,20,0,29,Local Area,G21011100049002
G21011100049002,2020,819,148,558,0,0,85,28,Local Area,G21011100049002
G21011100049003,1990,879,399,469,1,2,0,8,Local Area,G21011100049003
G21011100049003,2010,2149,985,1001,0,4,23,136,Local Area,G21011100049003
G21011100049003,2020,2680,1879,562,36,33,92,78,Local Area,G21011100049003
G21011100050001,1990,686,280,397,1,2,2,5,Local Area,G21011100050001
G21011100050001,2010,805,231,532,0,35,6,0,Local Area,G21011100050001
G21011100050001,2020,460,125,288,0,0,8,39,Local Area,G21011100050001
G21011100050002,1990,1054,733,296,1,4,9,10,Local Area,G21011100050002
G21011100050002,2010,1015,526,452,0,8,17,13,Local Area,G21011100050002
G21011100050002,2020,1626,696,861,0,0,55,14,Local Area,G21011100050002
G21011100053001,1990,1283,789,387,2,71,2,31,Local Area,G21011100053001
G21011100053001,2010,1421,1112,222,0,14,72,0,Local Area,G21011100053001
G21011100053001,2020,2464,1826,302,4,76,158,98,Local Area,G21011100053001
G21011100053002,1990,1143,718,356,3,37,2,27,Local Area,G21011100053002
G21011100053002,2010,648,430,85,94,8,14,17,Local Area,G21011100053002
G21011100053002,2020,658,469,100,0,26,33,30,Local Area,G21011100053002
G21011100059011,1990,1431,708,657,2,56,0,8,Local Area,G21011100059011
G21011100059011,2010,1914,527,1306,0,0,66,15,Local Area,G21011100059011
G21011100059011,2020,2086,634,1298,0,9,14,131,Local Area,G21011100059011
G21011100059012,1990,1152,89,1061,1,0,0,1,Local Area,G21011100059012
G21011100059012,2010,453,0,453,0,0,0,0,Local Area,G21011100059012
G21011100059012,2020,456,72,296,0,45,13,30,Local Area,G21011100059012
G21011100059021,1990,990,862,109,9,2,0,8,Local Area,G21011100059021
G21011100059021,2010,733,593,126,0,0,9,5,Local Area,G21011100059021
G21011100059021,2020,963,840,80,0,0,29,14,Local Area,G21011100059021
G21011100059022,1990,897,251,635,1,4,0,5,Local Area,G21011100059022
G21011100059022,2010,609,178,308,0,20,103,0,Local Area,G21011100059022
G21011100059022,2020,276,68,181,0,10,0,17,Local Area,G21011100059022
G21011100059023,1990,1104,308,781,2,6,1,7,Local Area,G21011100059023
G21011100059023,2010,749,220,379,0,24,126,0,Local Area,G21011100059023
G21011100059023,2020,687,275,226,0,89,16,81,Local Area,G21011100059023
G21011100062001,1990,1133,234,880,1,0,0,18,Local Area,G21011100062001
G21011100062001,2010,801,59,731,0,0,11,0,Local Area,G21011100062001
G21011100062001,2020,724,225,471,0,0,28,0,Local Area,G21011100062001
G21011100062002,1990,938,243,675,5,1,1,13,Local Area,G21011100062002
G21011100062002,2010,1236,223,916,19,43,29,6,Local Area,G21011100062002
G21011100062002,2020,1444,531,794,0,0,42,77,Local Area,G21011100062002
G21011100063001,1990,1287,1220,52,6,2,1,6,Local Area,G21011100063001
G21011100063001,2010,1028,967,40,0,0,10,11,Local Area,G21011100063001
G21011100063001,2020,1113,936,63,0,44,40,30,Local Area,G21011100063001
G21011100063002,1990,946,914,17,1,7,0,7,Local Area,G21011100063002
G21011100063002,2010,943,851,25,0,0,67,0,Local Area,G21011100063002
G21011100063002,2020,630,543,18,0,0,22,47,Local Area,G21011100063002
G21011100064001,1990,912,860,27,3,4,0,18,Local Area,G21011100064001
G21011100064001,2010,702,627,27,0,18,0,30,Local Area,G21011100064001
G21011100064001,2020,1029,811,19,0,54,100,45,Local Area,G21011100064001
G21011100064002,1990,948,920,12,0,8,0,8,Local Area,G21011100064002
G21011100064002,2010,989,957,7,7,0,6,12,Local Area,G21011100064002
G21011100064002,2020,1014,885,0,0,55,43,31,Local Area,G21011100064002
G21011100066001,1990,1187,809,344,2,7,6,19,Local Area,G21011100066001
G21011100066001,2010,573,411,138,0,0,14,10,Local Area,G21011100066001
G21011100066001,2020,975,662,242,0,0,49,22,Local Area,G21011100066001
G21011100066002,1990,1255,928,295,4,13,6,9,Local Area,G21011100066002
G21011100066002,2010,1345,832,359,0,0,100,54,Local Area,G21011100066002
G21011100066002,2020,717,585,117,0,0,15,0,Local Area,G21011100066002
G21011100070001,1990,1524,1501,7,0,4,0,12,Local Area,G21011100070001
G21011100070001,2010,1273,1204,44,0,0,7,18,Local Area,G21011100070001
G21011100070001,2020,1092,981,57,0,12,3,39,Local Area,G21011100070001
G21011100070002,1990,806,789,14,1,0,1,1,Local Area,G21011100070002
G21011100070002,2010,791,725,51,0,0,0,15,Local Area,G21011100070002
G21011100070002,2020,643,560,56,0,5,21,1,Local Area,G21011100070002
G21011100071011,1990,185,156,21,1,5,0,2,Local Area,G21011100071011
G21011100071011,2010,105,87,12,0,2,4,0,Local Area,G21011100071011
G21011100071011,2020,115,115,0,0,0,0,0,Local Area,G21011100071011
G21011100074001,1990,1560,1410,100,6,21,3,19,Local Area,G21011100074001
G21011100074001,2010,1306,1160,61,0,15,41,29,Local Area,G21011100074001
G21011100074001,2020,1381,1194,62,0,44,26,55,Local Area,G21011100074001
G21011100074002,1990,868,832,28,3,1,1,4,Local Area,G21011100074002
G21011100074002,2010,715,664,6,0,17,28,0,Local Area,G21011100074002
G21011100074002,2020,1130,788,9,0,47,45,241,Local Area,G21011100074002
G21011100076011,1990,1182,1134,37,3,3,0,5,Local Area,G21011100076011
G21011100076011,2010,1270,949,182,0,80,7,52,Local Area,G21011100076011
G21011100076011,2020,1045,833,102,0,81,19,10,Local Area,G21011100076011
G21011100076012,1990,732,694,29,0,6,0,3,Local Area,G21011100076012
G21011100076012,2010,792,759,14,0,13,6,0,Local Area,G21011100076012
G21011100076012,2020,574,407,125,0,20,22,0,Local Area,G21011100076012
G21011100076021,1990,2408,1977,395,1,14,4,17,Local Area,G21011100076021
G21011100076021,2010,2324,1651,437,0,105,41,90,Local Area,G21011100076021
G21011100076021,2020,2243,1421,571,0,60,66,125,Local Area,G21011100076021
G21011100076022,1990,1390,1031,329,4,17,0,9,Local Area,G21011100076022
G21011100076022,2010,1382,819,275,0,61,95,132,Local Area,G21011100076022
G21011100076022,2020,1311,564,409,0,216,38,84,Local Area,G21011100076022
G21011100076031,1990,1124,972,118,2,18,0,14,Local Area,G21011100076031
G21011100076031,2010,1437,1064,257,0,0,94,22,Local Area,G21011100076031
G21011100076031,2020,1528,721,577,0,61,76,93,Local Area,G21011100076031
G21011100076032,1990,714,536,152,4,5,3,14,Local Area,G21011100076032
G21011100076032,2010,475,259,165,0,0,40,11,Local Area,G21011100076032
G21011100076032,2020,567,356,130,0,81,0,0,Local Area,G21011100076032
G21011100076033,1990,690,638,39,0,11,0,2,Local Area,G21011100076033
G21011100076033,2010,502,449,6,0,32,6,9,Local Area,G21011100076033
G21011100076033,2020,436,386,0,0,0,40,10,Local Area,G21011100076033
G21011100077001,1990,1737,1584,66,3,62,1,22,Local Area,G21011100077001
G21011100077001,2010,2315,1937,111,0,226,10,31,Local Area,G21011100077001
G21011100077001,2020,2095,1797,154,8,106,10,20,Local Area,G21011100077001
G21011100079001,1990,960,914,30,3,6,0,7,Local Area,G21011100079001
G21011100079001,2010,803,759,24,7,12,1,0,Local Area,G21011100079001
G21011100079001,2020,954,864,71,0,16,3,0,Local Area,G21011100079001
G21011100079002,1990,927,895,15,1,6,0,10,Local Area,G21011100079002
G21011100079002,2010,866,842,0,0,4,0,20,Local Area,G21011100079002
G21011100079002,2020,850,801,11,0,0,38,0,Local Area,G21011100079002
G21011100082011,1990,838,812,17,1,5,0,3,Local Area,G21011100082011
G21011100082011,2010,699,644,34,0,21,0,0,Local Area,G21011100082011
G21011100082011,2020,687,593,5,0,0,81,8,Local Area,G21011100082011
G21011100082012,1990,1148,1096,29,0,13,1,9,Local Area,G21011100082012
G21011100082012,2010,1344,1170,49,0,49,50,26,Local Area,G21011100082012
G21011100082012,2020,1054,1039,0,0,4,3,8,Local Area,G21011100082012
G21011100082021,1990,998,960,27,1,4,0,6,Local Area,G21011100082021
G21011100082021,2010,888,844,6,0,15,0,23,Local Area,G21011100082021
G21011100082021,2020,847,717,86,0,24,20,0,Local Area,G21011100082021
G21011100082022,1990,1304,1273,10,1,11,4,5,Local Area,G21011100082022
G21011100082022,2010,1303,1161,0,0,41,44,57,Local Area,G21011100082022
G21011100082022,2020,1522,1209,173,0,69,28,43,Local Area,G21011100082022
G21011100083001,1990,933,902,21,4,0,3,3,Local Area,G21011100083001
G21011100083001,2010,816,731,0,0,25,60,0,Local Area,G21011100083001
G21011100083001,2020,637,610,0,0,14,13,0,Local Area,G21011100083001
G21011100083002,1990,806,762,33,1,0,2,8,Local Area,G21011100083002
G21011100083002,2010,489,462,27,0,0,0,0,Local Area,G21011100083002
G21011100083002,2020,533,467,5,0,0,27,34,Local Area,G21011100083002
G21011100083003,1990,1241,1188,39,3,3,0,8,Local Area,G21011100083003
G21011100083003,2010,876,847,0,0,7,22,0,Local Area,G21011100083003
G21011100083003,2020,1273,1129,21,0,0,107,16,Local Area,G21011100083003
G21011100085001,1990,1158,1132,19,1,4,0,2,Local Area,G21011100085001
G21011100085001,2010,1173,1133,0,0,0,0,40,Local Area,G21011100085001
G21011100085001,2020,1141,1013,58,0,11,45,14,Local Area,G21011100085001
G21011100085002,1990,937,918,13,0,2,1,3,Local Area,G21011100085002
G21011100085002,2010,853,778,24,0,0,3,48,Local Area,G21011100085002
G21011100085002,2020,808,649,53,0,25,73,8,Local Area,G21011100085002
G21011100091031,1990,1604,1497,69,4,20,1,13,Local Area,G21011100091031
G21011100091031,2010,1639,1023,300,0,255,50,11,Local Area,G21011100091031
G21011100091031,2020,1553,692,203,0,226,17,415,Local Area,G21011100091031
G21011100091051,1990,1609,1495,89,1,12,1,11,Local Area,G21011100091051
G21011100091051,2010,1926,753,353,0,0,238,582,Local Area,G21011100091051
G21011100091051,2020,1700,777,218,0,0,55,650,Local Area,G21011100091051
G21011100091052,1990,1083,1042,14,1,13,3,10,Local Area,G21011100091052
G21011100091052,2010,1440,1249,89,0,0,0,102,Local Area,G21011100091052
G21011100091052,2020,875,527,11,0,17,0,320,Local Area,G21011100091052
G21011100094011,1990,1443,1437,0,0,2,0,4,Local Area,G21011100094011
G21011100094011,2010,1216,1141,12,25,16,22,0,Local Area,G21011100094011
G21011100094011,2020,617,579,0,0,0,12,26,Local Area,G21011100094011
G21011100094012,1990,1940,1917,2,2,13,0,6,Local Area,G21011100094012
G21011100094012,2010,1848,1612,7,4,7,7,211,Local Area,G21011100094012
G21011100094012,2020,1917,1675,111,0,9,61,61,Local Area,G21011100094012
G21011100096001,1990,927,914,4,0,7,0,3,Local Area,G21011100096001
G21011100096001,2010,853,840,1,1,7,2,2,Local Area,G21011100096001
G21011100096001,2020,571,473,8,0,3,28,59,Local Area,G21011100096001
G21011100096002,1990,1236,1202,24,0,8,0,2,Local Area,G21011100096002
G21011100096002,2010,1050,1022,12,0,0,17,0,Local Area,G21011100096002
G21011100096002,2020,1154,995,117,0,0,42,0,Local Area,G21011100096002
G21011100096003,1990,1863,1815,39,1,3,0,5,Local Area,G21011100096003
G21011100096003,2010,1898,1836,0,0,0,61,0,Local Area,G21011100096003
G21011100096003,2020,1938,1887,0,0,0,4,47,Local Area,G21011100096003
G21011100096004,1990,852,842,1,0,2,0,7,Local Area,G21011100096004
G21011100096004,2010,661,637,0,0,0,0,24,Local Area,G21011100096004
G21011100096004,2020,1114,1028,20,0,0,0,66,Local Area,G21011100096004
G21011100103121,1990,1737,1641,24,5,44,3,20,Local Area,G21011100103121
G21011100103121,2010,2435,2267,25,0,0,0,143,Local Area,G21011100103121
G21011100103121,2020,2304,2110,84,0,103,7,0,Local Area,G21011100103121
G21011100103122,1990,782,771,3,0,5,1,2,Local Area,G21011100103122
G21011100103122,2010,735,652,35,0,34,0,14,Local Area,G21011100103122
G21011100103122,2020,674,625,20,0,13,16,0,Local Area,G21011100103122
G21011100103131,1990,554,529,15,0,3,0,7,Local Area,G21011100103131
G21011100103131,2010,1450,987,213,0,172,17,61,Local Area,G21011100103131
G21011100103131,2020,1946,1595,78,0,137,136,0,Local Area,G21011100103131
G21011100103132,1990,30,28,1,0,0,0,1,Local Area,G21011100103132
G21011100103132,2010,693,611,4,0,42,0,36,Local Area,G21011100103132
G21011100103132,2020,838,644,0,0,143,51,0,Local Area,G21011100103132
G21011100103133,1990,36,33,1,0,0,0,2,Local Area,G21011100103133
G21011100103133,2010,836,737,4,0,51,0,44,Local Area,G21011100103133
G21011100103133,2020,3079,2811,21,0,23,178,46,Local Area,G21011100103133
G21011100103134,1990,40,37,1,0,0,0,2,Local Area,G21011100103134
G21011100103134,2010,926,816,5,0,56,0,49,Local Area,G21011100103134
G21011100103134,2020,228,209,0,0,0,0,19,Local Area,G21011100103134
G21011100103151,1990,71,71,0,0,0,0,0,Local Area,G21011100103151
G21011100103151,2010,2184,1811,24,0,268,81,0,Local Area,G21011100103151
G21011100103151,2020,2601,2014,130,0,149,81,227,Local Area,G21011100103151
G21011100103152,1990,65,65,0,0,0,0,0,Local Area,G21011100103152
G21011100103152,2010,849,623,46,0,126,8,46,Local Area,G21011100103152
G21011100103152,2020,1461,1168,155,0,69,6,63,Local Area,G21011100103152
G21011100103161,1990,1421,1328,54,1,24,0,13,Local Area,G21011100103161
G21011100103161,2010,2179,1911,152,0,14,41,61,Local Area,G21011100103161
G21011100103161,2020,3565,2853,137,0,201,187,187,Local Area,G21011100103161
G21011100103162,1990,169,160,6,0,2,0,2,Local Area,G21011100103162
G21011100103162,2010,680,551,44,0,47,36,3,Local Area,G21011100103162
G21011100103162,2020,774,641,69,0,54,0,10,Local Area,G21011100103162
G21011100103163,1990,498,471,17,0,5,0,5,Local Area,G21011100103163
G21011100103163,2010,2002,1620,130,0,139,104,8,Local Area,G21011100103163
G21011100103163,2020,2417,2074,48,4,82,92,117,Local Area,G21011100103163
G21011100103211,1990,238,233,2,0,0,0,2,Local Area,G21011100103211
G21011100103211,2010,1867,1723,40,0,22,29,53,Local Area,G21011100103211
G21011100103211,2020,2638,1705,104,0,47,17,765,Local Area,G21011100103211
G21011100103212,1990,276,267,4,0,2,0,2,Local Area,G21011100103212
G21011100103212,2010,1683,1479,64,0,17,60,63,Local Area,G21011100103212
G21011100103212,2020,3599,2606,225,0,565,170,33,Local Area,G21011100103212
G21011100103221,1990,149,142,3,0,3,1,1,Local Area,G21011100103221
G21011100103221,2010,628,496,45,0,4,48,34,Local Area,G21011100103221
G21011100103221,2020,863,737,20,0,27,25,54,Local Area,G21011100103221
G21011100103222,1990,270,257,5,0,5,1,2,Local Area,G21011100103222
G21011100103222,2010,1139,899,82,0,8,87,62,Local Area,G21011100103222
G21011100103222,2020,2253,1769,80,0,289,95,20,Local Area,G21011100103222
G21011100103231,1990,423,366,53,1,3,0,0,Local Area,G21011100103231
G21011100103231,2010,1432,931,262,0,170,60,10,Local Area,G21011100103231
G21011100103231,2020,1521,1138,177,0,87,18,101,Local Area,G21011100103231
G21011100103232,1990,221,191,28,0,2,0,0,Local Area,G21011100103232
G21011100103232,2010,747,485,137,0,88,31,5,Local Area,G21011100103232
G21011100103232,2020,1526,1139,271,0,64,30,22,Local Area,G21011100103232
G21011100104071,1990,510,491,15,1,0,0,2,Local Area,G21011100104071
G21011100104071,2010,1229,1092,67,0,46,14,11,Local Area,G21011100104071
G21011100104071,2020,1462,1248,26,0,137,41,10,Local Area,G21011100104071
G21011100104072,1990,1488,1429,29,1,15,0,14,Local Area,G21011100104072
G21011100104072,2010,1499,1232,21,0,27,177,41,Local Area,G21011100104072
G21011100104072,2020,2508,1832,218,0,275,62,121,Local Area,G21011100104072
G21011100104081,1990,1731,1678,27,1,6,0,20,Local Area,G21011100104081
G21011100104081,2010,1496,1439,28,0,7,11,11,Local Area,G21011100104081
G21011100104081,2020,1881,1679,112,0,2,52,36,Local Area,G21011100104081
G21011100104082,1990,1057,979,51,1,5,0,21,Local Area,G21011100104082
G21011100104082,2010,2016,1537,339,0,109,0,31,Local Area,G21011100104082
G21011100104082,2020,1868,1515,92,0,115,74,72,Local Area,G21011100104082
G21011100106011,1990,1495,1451,27,3,7,0,7,Local Area,G21011100106011
G21011100106011,2010,1578,1474,9,0,22,38,35,Local Area,G21011100106011
G21011100106011,2020,1504,1441,10,0,7,19,27,Local Area,G21011100106011
G21011100106012,1990,1577,1552,5,0,9,0,11,Local Area,G21011100106012
G21011100106012,2010,1600,1531,40,0,3,7,19,Local Area,G21011100106012
G21011100106012,2020,1491,1328,10,2,29,19,103,Local Area,G21011100106012
G21011100107071,1990,1909,1768,80,0,35,0,25,Local Area,G21011100107071
G21011100107071,2010,1783,1450,5,0,280,0,48,Local Area,G21011100107071
G21011100107071,2020,1794,1616,67,0,42,69,0,Local Area,G21011100107071
G21011100107072,1990,1533,1438,46,0,15,0,34,Local Area,G21011100107072
G21011100107072,2010,1242,1186,38,0,18,0,0,Local Area,G21011100107072
G21011100107072,2020,1844,1451,117,0,200,23,53,Local Area,G21011100107072
G21011100107081,1990,773,706,25,4,26,0,12,Local Area,G21011100107081
G21011100107081,2010,872,794,44,0,19,7,8,Local Area,G21011100107081
G21011100107081,2020,930,826,7,0,21,52,24,Local Area,G21011100107081
G21011100107082,1990,1560,1417,91,1,26,1,24,Local Area,G21011100107082
G21011100107082,2010,1993,1094,620,0,212,0,67,Local Area,G21011100107082
G21011100107082,2020,1700,872,193,0,259,156,220,Local Area,G21011100107082
G21011100110061,1990,1242,861,329,7,22,5,19,Local Area,G21011100110061
G21011100110061,2010,1289,573,436,0,49,97,135,Local Area,G21011100110061
G21011100110061,2020,1624,505,530,0,249,124,216,Local Area,G21011100110061
