GISJOIN_proj,data_yr,pop,pop_white,pop_black,pop_indigenous,pop_asian,pop_other,pop_latino,Area,group_id
G21011100002011,1990,946,916,23,1,0,0,6,Local Area,G21011100002011
G21011100002011,2010,777,551,226,0,0,0,0,Local Area,G21011100002011
G21011100002011,2020,592,592,0,0,0,0,0,Local Area,G21011100002011
G21011100002012,1990,915,877,28,0,1,0,9,Local Area,G21011100002012
G21011100002012,2010,647,479,147,0,0,0,21,Local Area,G21011100002012
G21011100002012,2020,691,365,293,0,0,33,0,Local Area,G21011100002012
G21011100002021,1990,1752,1597,114,15,1,0,25,Local Area,G21011100002021
G21011100002021,2010,1627,1281,314,0,0,16,16,Local Area,G21011100002021
G21011100002021,2020,929,781,74,0,0,30,44,Local Area,G21011100002021
G21011100006001,1990,1008,169,839,0,0,0,0,Local Area,G21011100006001
G21011100006001,2010,1241,139,977,0,0,125,0,Local Area,G21011100006001
G21011100006001,2020,1033,51,910,0,0,0,72,Local Area,G21011100006001
G21011100006002,1990,913,39,868,0,1,0,5,Local Area,G21011100006002
G21011100006002,2010,601,20,496,8,0,77,0,Local Area,G21011100006002
G21011100006002,2020,296,17,251,0,0,28,0,Local Area,G21011100006002
G21011100008001,1990,1243,35,1193,1,1,1,12,Local Area,G21011100008001
G21011100008001,2010,1129,0,1126,0,0,3,0,Local Area,G21011100008001
G21011100008001,2020,1130,9,1109,0,0,8,4,Local Area,G21011100008001
G21011100008003,1990,1265,66,1189,0,1,0,9,Local Area,G21011100008003
G21011100008003,2010,1166,20,1139,0,0,7,0,Local Area,G21011100008003
G21011100008003,2020,791,182,594,4,0,6,5,Local Area,G21011100008003
G21011100009001,1990,1179,37,1131,4,0,2,5,Local Area,G21011100009001
G21011100009001,2010,1166,48,1118,0,0,0,0,Local Area,G21011100009001
G21011100009001,2020,1021,43,888,0,0,90,0,Local Area,G21011100009001
G21011100009002,1990,1281,27,1249,2,3,0,0,Local Area,G21011100009002
G21011100009002,2010,1012,47,915,0,0,50,0,Local Area,G21011100009002
G21011100009002,2020,941,16,848,2,0,75,0,Local Area,G21011100009002
G21011100010001,1990,876,29,846,0,0,0,1,Local Area,G21011100010001
G21011100010001,2010,535,19,455,0,0,61,0,Local Area,G21011100010001
G21011100010001,2020,679,0,679,0,0,0,0,Local Area,G21011100010001
G21011100010002,1990,747,10,733,0,0,0,4,Local Area,G21011100010002
G21011100010002,2010,764,0,735,0,0,0,29,Local Area,G21011100010002
G21011100010002,2020,341,11,330,0,0,0,0,Local Area,G21011100010002
G21011100010003,1990,1230,18,1203,0,0,3,6,Local Area,G21011100010003
G21011100010003,2010,1400,59,1291,0,0,37,13,Local Area,G21011100010003
G21011100010003,2020,1218,236,869,44,12,57,0,Local Area,G21011100010003
G21011100012001,1990,867,4,862,0,1,0,0,Local Area,G21011100012001
G21011100012001,2010,717,5,689,0,0,23,0,Local Area,G21011100012001
G21011100012001,2020,1558,0,1480,0,0,28,50,Local Area,G21011100012001
G21011100012002,1990,1209,8,1198,2,1,0,0,Local Area,G21011100012002
G21011100012002,2010,1093,51,1032,0,0,10,0,Local Area,G21011100012002
G21011100012002,2020,546,55,465,0,0,26,0,Local Area,G21011100012002
G21011100012003,1990,1282,95,1179,1,1,0,6,Local Area,G21011100012003
G21011100012003,2010,915,0,915,0,0,0,0,Local Area,G21011100012003
G21011100012003,2020,993,63,930,0,0,0,0,Local Area,G21011100012003
G21011100015001,1990,1096,57,1029,6,1,0,3,Local Area,G21011100015001
