GEOID_bg,market_area,year_qu,R_quarter,R_year,rent_bg,rent_ma,N,GISJOIN_proj,year_qu_text
211110000000.0,West Core,17,Q1,2018,912.5,780.0,90,G21011100027001,Q1_2018
211110000000.0,Northwest Core,17,Q1,2018,1020.0,895.0,281,G21011100030001,Q1_2018
211110000000.0,Northwest Core,17,Q1,2018,1020.0,895.0,339,G21011100030002,Q1_2018
211110000000.0,West Core,17,Q1,2018,875.0,780.0,70,G21011100035011,Q1_2018
211110000000.0,West Core,17,Q1,2018,899.0,780.0,52,G21011100035021,Q1_2018
211110000000.0,Southwest Core,17,Q1,2018,950.0,820.0,37,G21011100036003,Q1_2018
211110000000.0,University,17,Q1,2018,712.0,950.0,50,G21011100037001,Q1_2018
211110000000.0,University,17,Q1,2018,699.0,950.0,48,G21011100037002,Q1_2018
211110000000.0,Southwest Core,17,Q1,2018,849.0,820.0,31,G21011100038001,Q1_2018
211110000000.0,Southwest Core,17,Q1,2018,849.0,820.0,31,G21011100038002,Q1_2018
211110000000.0,Downtown,17,Q1,2018,1750.0,1140.0,93,G21011100049000,Q1_2018
211110000000.0,Downtown,17,Q1,2018,1100.0,1140.0,690,G21011100049001,Q1_2018
211110000000.0,Downtown,17,Q1,2018,1030.0,1140.0,362,G21011100049002,Q1_2018
211110000000.0,Downtown,17,Q1,2018,1120.0,1140.0,681,G21011100049003,Q1_2018
211110000000.0,Downtown,17,Q1,2018,1025.0,1140.0,338,G21011100050001,Q1_2018
211110000000.0,Downtown,17,Q1,2018,1020.0,1140.0,352,G21011100050002,Q1_2018
211110000000.0,University,17,Q1,2018,1005.0,950.0,311,G21011100051001,Q1_2018
211110000000.0,University,17,Q1,2018,995.0,950.0,330,G21011100051002,Q1_2018
211110000000.0,University,17,Q1,2018,1000.0,950.0,322,G21011100051003,Q1_2018
211110000000.0,University,17,Q1,2018,850.0,950.0,72,G21011100052001,Q1_2018
211110000000.0,University,17,Q1,2018,875.0,950.0,69,G21011100052002,Q1_2018
211110000000.0,University,17,Q1,2018,998.0,950.0,122,G21011100052003,Q1_2018
211110000000.0,University,17,Q1,2018,820.0,950.0,102,G21011100053001,Q1_2018
211110000000.0,University,17,Q1,2018,820.0,950.0,91,G21011100053002,Q1_2018
211110000000.0,Downtown,17,Q1,2018,1192.5,1140.0,726,G21011100059011,Q1_2018
211110000000.0,Downtown,17,Q1,2018,1192.5,1140.0,726,G21011100059012,Q1_2018
211110000000.0,Downtown,17,Q1,2018,1289.0,1140.0,511,G21011100059021,Q1_2018
211110000000.0,Downtown,17,Q1,2018,1397.0,1140.0,514,G21011100059022,Q1_2018
