GISJOIN_proj,GISJOIN_CT
G21011100002012,G2101110000201
G21011100002012,G2101110000201
G21011100002021,G2101110000202
G21011100006001,G2101110000600
G21011100006001,G2101110000600
G21011100008001,G2101110000800
G21011100008001,G2101110000800
G21011100009001,G2101110000900
G21011100009001,G2101110000900
G21011100010003,G2101110001000
G21011100010003,G2101110001000
G21011100010003,G2101110001000
G21011100012001,G2101110001200
G21011100012001,G2101110001200
G21011100012001,G2101110001200
G21011100015003,G2101110001500
G21011100015003,G2101110001500
G21011100015003,G2101110001500
G21011100018001,G2101110001800
G21011100024012,G2101110002401
G21011100024012,G2101110002401
G21011100024022,G2101110002402
G21011100024022,G2101110002402
G21011100027002,G2101110002700
G21011100027002,G2101110002700
G21011100027002,G2101110002700
G21011100028001,G2101110002800
G21011100028001,G2101110002800
G21011100030002,G2101110003000
G21011100030002,G2101110003000
G21011100035011,G2101110003501
G21011100035021,G2101110003502
G21011100037001,G2101110003700
G21011100037001,G2101110003700
G21011100039003,G2101110003900
G21011100039003,G2101110003900
G21011100039003,G2101110003900
G21011100040001,G2101110004000
G21011100040001,G2101110004000
G21011100043013,G2101110004301
G21011100043013,G2101110004301
G21011100043013,G2101110004301
G21011100043013,G2101110004301
G21011100043021,G2101110004302
G21011100049003,G2101110004900
G21011100049003,G2101110004900
G21011100049003,G2101110004900
G21011100050002,G2101110005000
G21011100050002,G2101110005000
G21011100053001,G2101110005300
G21011100053001,G2101110005300
G21011100059011,G2101110005901
G21011100059011,G2101110005901
G21011100059021,G2101110005902
G21011100059021,G2101110005902
G21011100059021,G2101110005902
G21011100062002,G2101110006200
G21011100062002,G2101110006200
G21011100063001,G2101110006300
G21011100063001,G2101110006300
G21011100064001,G2101110006400
G21011100064001,G2101110006400
G21011100066001,G2101110006600
G21011100066001,G2101110006600
G21011100070001,G2101110007000
G21011100070001,G2101110007000
G21011100071011,G2101110007101
G21011100074001,G2101110007400
G21011100074001,G2101110007400
G21011100076011,G2101110007601
G21011100076011,G2101110007601
G21011100076021,G2101110007602
