GISJOIN_proj,GISJOIN_CT
G21011100076021,G2101110007602
G21011100076031,G2101110007603
G21011100076031,G2101110007603
G21011100076031,G2101110007603
G21011100077001,G2101110007700
G21011100079001,G2101110007900
G21011100079001,G2101110007900
G21011100082012,G2101110008201
G21011100082012,G2101110008201
G21011100082022,G2101110008202
G21011100082022,G2101110008202
G21011100083003,G2101110008300
G21011100083003,G2101110008300
G21011100083003,G2101110008300
G21011100085001,G2101110008500
G21011100085001,G2101110008500
G21011100091031,G2101110009103
G21011100091051,G2101110009105
G21011100091051,G2101110009105
G21011100094012,G2101110009401
G21011100094012,G2101110009401
G21011100096003,G2101110009600
G21011100096003,G2101110009600
G21011100096003,G2101110009600
G21011100096003,G2101110009600
G21011100103121,G2101110010312
G21011100103121,G2101110010312
G21011100103133,G2101110010313
G21011100103133,G2101110010313
G21011100103133,G2101110010313
G21011100103133,G2101110010313
G21011100103151,G2101110010315
G21011100103151,G2101110010315
G21011100103161,G2101110010316
G21011100103161,G2101110010316
G21011100103161,G2101110010316
G21011100103212,G2101110010321
G21011100103212,G2101110010321
G21011100103222,G2101110010322
G21011100103222,G2101110010322
G21011100103232,G2101110010323
G21011100103232,G2101110010323
G21011100104072,G2101110010407
G21011100104072,G2101110010407
G21011100104081,G2101110010408
G21011100104081,G2101110010408
G21011100106011,G2101110010601
G21011100106011,G2101110010601
G21011100107072,G2101110010707
G21011100107072,G2101110010707
G21011100107082,G2101110010708
G21011100107082,G2101110010708
G21011100110061,G2101110011006
G21011100110061,G2101110011006
G21011100110072,G2101110011007
G21011100110072,G2101110011007
G21011100111092,G2101110011109
G21011100111092,G2101110011109
G21011100111122,G2101110011112
G21011100111122,G2101110011112
G21011100111132,G2101110011113
G21011100111132,G2101110011113
G21011100111151,G2101110011115
G21011100111151,G2101110011115
G21011100112011,G2101110011201
G21011100113012,G2101110011301
G21011100113012,G2101110011301
G21011100114031,G2101110011403
G21011100114031,G2101110011403
G21011100114042,G2101110011404
G21011100114042,G2101110011404
G21011100115142,G2101110011514
G21011100115142,G2101110011514
G21011100115161,G2101110011516
G21011100115161,G2101110011516
G21011100115161,G2101110011516
G21011100115181,G2101110011518
G21011100115221,G2101110011522
G21011100115221,G2101110011522
G21011100116031,G2101110011603
G21011100116031,G2101110011603
G21011100116031,G2101110011603
G21011100116042,G2101110011604
G21011100116042,G2101110011604
G21011100116061,G2101110011606
G21011100117101,G2101110011710
G21011100117101,G2101110011710
G21011100118001,G2101110011800
G21011100118001,G2101110011800
G21011100119011,G2101110011901
G21011100119042,G2101110011904
G21011100119042,G2101110011904
G21011100119062,G2101110011906
G21011100119062,G2101110011906
G21011100119082,G2101110011908
G21011100119082,G2101110011908
G21011100119092,G2101110011909
G21011100119092,G2101110011909
G21011100120011,G2101110012001
G21011100120011,G2101110012001
G21011100120041,G2101110012004
G21011100120041,G2101110012004
G21011100120051,G2101110012005
G21011100120051,G2101110012005
G21011100121071,G2101110012107
G21011100121071,G2101110012107
G21011100121071,G2101110012107
G21011100121071,G2101110012107
G21011100121081,G2101110012108
G21011100122051,G2101110012205
G21011100122063,G2101110012206
G21011100122063,G2101110012206
G21011100122063,G2101110012206
G21011100122063,G2101110012206
G21011100124092,G2101110012409
G21011100124092,G2101110012409
G21011100124092,G2101110012409
G21011100124101,G2101110012410
G21011100124101,G2101110012410
G21011100124121,G2101110012412
G21011100124121,G2101110012412
G21011100124132,G2101110012413
G21011100124132,G2101110012413
G21011100125012,G2101110012501
G21011100125012,G2101110012501
G21011100126032,G2101110012603
G21011100126032,G2101110012603
G21011100126051,G2101110012605
G21011100126051,G2101110012605
G21011100126051,G2101110012605
G21011100127011,G2101110012701
G21011100127011,G2101110012701
G21011100127021,G2101110012702
G21011100127021,G2101110012702
G21011100128012,G2101110012801
G21011100128012,G2101110012801
G21011100131001,G2101110013100
