GISJOIN_proj,GEOID,GISJOIN_CT,pop_00,pop_white_00,pop_black_00,pop_indigenous_00,pop_asian_00,pop_other_00,pop_latino_00,pop_10,pop_white_10,pop_black_10,pop_indigenous_10,pop_asian_10,pop_other_10,pop_latino_10,pop_20,pop_white_20,pop_black_20,pop_indigenous_20,pop_asian_20,pop_other_20,pop_latino_20,pop_change00_10,pop_change10_20,white_change00_10,white_change10_20,black_change00_10,black_change10_20,latino_change00_10,latino_change10_20,blackpct_ch_00_20,median_rent_10,median_rent_20,median_hv_10,median_hv_20,median_hhinc_10,median_hhinc_20,adult_college_above_10,adult_over25_10,renters_10,HU_10,HU_vacant_10,HH_10,hi_inc_hh_10,lo_inc_hh_10,adult_college_above_20,adult_over25_20,renters_20,HU_20,HU_vacant_20,HH_20,hi_inc_hh_20,lo_inc_hh_20,GEOID_bg,rent_bg_Q3_2017,rent_bg_Q3_2024,rent_ma_Q3_2017,rent_ma_Q3_2024,permits_N,affordable_units,vacancy_Ch,HH_ch,HU_ch,housing_tightness,HH_p_ch,HU_p_ch,renter_p_10,renter_p_20,renter_p_ch,college_edu,hi_inc_ch,hi_inc_ch_pop,lo_inc_ch,lo_inc_ch_pop,hhinc_ch,pop_la,all_renters_ct,renters30_ct,renters50_ct,renters60_ct,renters70_ct,renters80_ct,rank_renter_p,rank_housing_tight,rank_hh_growth,rank_vacant_ch,rank_college,rank_hhinc,rank_hi_inc,rank_lo_inc,rank_rents,rank_rents2,rank_HV,rank_permits,owner_20_ct,hi_all,med_all,h1,h2,h3,m1,m2,risk_level
G21011100010002,1500000US211110010002,G2101110001000,,,,,,,,764,0,735,0,0,0,29,341,11,330,0,0,0,0,,-423,,11,,-405,,-29,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,700.0,1155.0,750.0,1145.0,84.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,76.0,1000,,,,,,,,low
G21011100010003,1500000US211110010003,G2101110001000,,,,,,,,1400,59,1291,0,0,37,13,1218,236,869,44,12,57,0,,-182,,177,,-422,,-13,,,,58239.740740740745,103697.97959183673,21364.74074074074,61896.590361445786,158.0,1527.0,678.0,1325.0,312.0,1013.0,81.0,699.0,104.0,1689.0,424.0,1400.0,327.0,1073.0,363.0,697.0,211110000000.0,775.0,1170.0,750.0,1145.0,74.0,118.0,-0.001900269541778965,60.0,75.0,0.010714285714285714,0.059230009871668314,0.05660377358490566,0.6692991115498519,0.3951537744641193,-0.2741453370857326,-0.04189596150289461,0.2583433077356896,282.0,-0.0404489999070794,-2.0,1.8971374430682542,3.0,,,,,,,100.0,33.0,51.0,38.0,12.0,99.0,100.0,38.0,,71.0,85.0,74.0,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.0,high
G21011100012001,1500000US211110012001,G2101110001200,,,,,,,,717,5,689,0,0,23,0,1558,0,1480,0,0,28,50,,841,,-5,,791,,50,,,,75965.38655462184,52585.206896551725,24782.95061728395,35832.333333333336,155.0,1797.0,485.0,1339.0,250.0,1089.0,95.0,682.0,272.0,1801.0,622.0,1547.0,320.0,1227.0,77.0,677.0,211110000000.0,725.0,1100.0,750.0,1145.0,49.0,232.0,0.020145474171744865,138.0,208.0,0.04524886877828054,0.12672176308539945,0.1553398058252427,0.44536271808999084,0.5069274653626732,0.06156474727268235,0.0647723378806741,-0.02448131010033655,-18.0,-0.07451038502383245,-5.0,0.4458461337667922,3.0,,,,,,,29.0,20.0,63.0,25.0,59.0,54.0,48.0,31.0,,72.0,3.0,60.0,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.0,high
G21011100012002,1500000US211110012002,G2101110001200,,,,,,,,1093,51,1032,0,0,10,0,546,55,465,0,0,26,0,,-547,,4,,-567,,0,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,774.5,1195.0,750.0,1145.0,82.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,75.0,1000,,,,,,,,low
G21011100012003,1500000US211110012003,G2101110001200,,,,,,,,915,0,915,0,0,0,0,993,63,930,0,0,0,0,,78,,63,,15,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,1000,,,,,,,,low
G21011100015001,1500000US211110015001,G2101110001500,,,,,,,,1165,181,957,0,0,27,0,883,105,760,0,0,18,0,,-282,,-76,,-197,,0,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,775.0,1195.0,750.0,1145.0,56.0,482.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,64.0,1000,,,,,,,,low
G21011100015002,1500000US211110015002,G2101110001500,,,,,,,,774,0,774,0,0,0,0,820,15,621,0,0,184,0,,46,,15,,-153,,0,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,800.0,1195.0,750.0,1145.0,65.0,422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,69.0,1000,,,,,,,,low
G21011100015003,1500000US211110015003,G2101110001500,,,,,,,,960,57,895,0,0,8,0,1745,7,1601,0,0,137,0,,785,,-50,,706,,0,,,,74069.79646017699,79229.76923076923,22425.900584795323,30790.13924050633,187.0,1936.0,538.0,1521.0,359.0,1162.0,93.0,722.0,156.0,1866.0,729.0,1470.0,245.0,1225.0,115.0,750.0,211110000000.0,800.0,1180.0,750.0,1145.0,55.0,579.0,-0.06936226166995399,63.0,-51.0,-0.07755102040816327,0.05421686746987952,-0.03353057199211045,0.4629948364888124,0.5951020408163266,0.13210720432751416,-0.01298962291727565,0.013843127612490777,22.0,-0.009097614949594268,28.0,0.3729722525115415,3.0,,,,,,,12.0,89.0,48.0,85.0,20.0,46.0,64.0,54.0,,64.0,10.0,63.0,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.0,high
G21011100018001,1500000US211110018001,G2101110001800,,,,,,,,1609,63,1488,0,0,45,13,988,27,930,0,0,7,24,,-621,,-36,,-558,,11,,,,58483.84848484849,58969.58823529412,17325.38888888889,14622.36301369863,71.0,913.0,385.0,839.0,224.0,615.0,15.0,439.0,33.0,580.0,411.0,680.0,182.0,498.0,39.0,389.0,211110000000.0,750.0,1100.0,750.0,1145.0,90.0,84.0,0.0006625534600013805,-117.0,-159.0,-0.061764705882352944,-0.1902439024390244,-0.18951132300357568,0.6260162601626016,0.8253012048192772,0.19928494465667557,-0.02086905616195188,0.05392300910960917,24.0,0.06730335978058577,-50.0,-0.1560153075076868,1.0,,,,,,,5.0,83.0,8.0,35.0,17.0,3.0,81.0,81.0,,63.0,6.0,81.0,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.0,high
G21011100024011,1500000US211110024011,G2101110002401,,,,,,,,877,62,778,12,0,25,0,343,137,206,0,0,0,0,,-534,,75,,-572,,0,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,776.0,1050.0,850.0,1095.0,118.0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,88.0,1000,,,,,,,,low
G21011100024012,1500000US211110024012,G2101110002401,,,,,,,,1547,35,1349,0,0,163,0,1507,13,1494,0,0,0,0,,-40,,-22,,145,,0,,,,58225.23085023755,150960.53846153847,16643.7085673942,30109.29411764706,137.972424493,1284.7021403605,627.5081770203001,1497.0465025616,520.0203309652,977.0261715964,33.3167014317,755.3832290309,220.0,1461.0,629.0,1210.0,374.0,836.0,31.0,551.0,211110000000.0,750.0,1095.0,850.0,1095.0,87.0,612.0,-0.03827327103001027,-141.0261715964,-287.04650256159994,-0.12067795947537185,-0.1443422660479729,-0.19174187446444313,0.6422634267769826,0.7523923444976076,0.11012891772062505,0.043185362510042694,0.0029812281700900972,-2.3167014316999968,-0.11405442825113044,-204.3832290309,0.8090495874598869,2.0,,,,,,,16.0,99.0,11.0,65.0,45.0,81.0,61.0,18.0,,61.0,98.0,80.0,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.0,high
G21011100024021,1500000US211110024021,G2101110002402,,,,,,,,788,42,704,0,0,42,0,1380,883,390,0,0,80,27,,592,,841,,-314,,27,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,850.0,1078.5,850.0,1095.0,96.0,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,83.0,1000,,,,,,,,low
G21011100024022,1500000US211110024022,G2101110002402,,,,,,,,1605,127,1400,0,0,78,0,1599,21,1565,0,0,13,0,,-6,,-106,,165,,0,,,,83629.85680943549,79277.35051546391,18848.65082584465,55780.25,100.027575507,1420.2978596394998,690.4918229796999,1251.9534974384,272.9796690348,978.9738284036,70.6832985683,674.6167709691,363.0,1590.0,676.0,1357.0,237.0,1120.0,53.0,337.0,211110000000.0,837.5,1095.0,850.0,1095.0,84.0,375.0,-0.04339301495446696,141.0261715964,105.04650256159994,-0.0265141260389094,0.1440550988236014,0.08390607380907816,0.7053220453356511,0.6035714285714285,-0.10175061676422259,0.1578747050375011,-0.024879989400655875,-17.683298568300003,-0.38821317551706486,-337.6167709691,1.9593762712987373,2.0,,,,,,,90.0,56.0,65.0,71.0,89.0,100.0,45.0,1.0,,37.0,5.0,76.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
G21011100027001,1500000US211110027001,G2101110002700,,,,,,,,1030,102,818,0,0,105,5,1124,256,553,0,0,312,3,,94,,154,,-265,,-2,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,745.0,950.0,750.0,1145.0,34.0,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,43.0,1000,,,,,,,,low
G21011100027002,1500000US211110027002,G2101110002700,,,,,,,,1340,67,1237,0,0,36,0,911,120,686,0,0,96,9,,-429,,53,,-551,,9,,,,55539.54054054054,81135.36363636363,18063.516129032258,29936.185929648243,161.0,1992.0,1099.0,1683.0,383.0,1300.0,51.0,916.0,104.0,1777.0,874.0,1700.0,509.0,1191.0,53.0,717.0,211110000000.0,627.0,1105.0,750.0,1145.0,85.0,128.0,0.07184194890077245,-109.0,17.0,0.07411764705882352,-0.08384615384615385,0.010101010101010102,0.8453846153846154,0.7338371116708649,-0.11154750371375055,-0.0222976882205242,0.005269650584512051,2.0,-0.10260027126525872,-199.0,0.6572734630293741,3.0,,,,,,,94.0,13.0,21.0,11.0,16.0,72.0,62.0,24.0,,96.0,54.0,78.0,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.0,high
G21011100027003,1500000US211110027003,G2101110002700,,,,,,,,1056,65,918,0,10,63,0,997,116,881,0,0,0,0,,-59,,51,,-37,,0,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,750.0,1155.0,750.0,1145.0,70.0,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,73.0,1000,,,,,,,,low
G21011100028001,1500000US211110028001,G2101110002800,,,,,,,,583,67,492,0,0,24,0,1003,45,954,0,0,4,0,,420,,-22,,462,,0,,,,50587.23529411765,62082.333333333336,21138.240506329115,44071.58064516129,98.0,1158.0,350.0,935.0,217.0,718.0,44.0,474.0,108.0,1109.0,358.0,877.0,314.0,563.0,92.0,260.0,211110000000.0,750.0,1195.0,750.0,1145.0,56.0,60.0,0.1259532070317502,-155.0,-58.0,0.11060433295324971,-0.21587743732590528,-0.06203208556149733,0.48746518105849584,0.6358792184724689,0.14841403741397302,0.012756361439065833,0.10212896490646509,48.0,-0.19835540800625384,-214.0,1.0849219040707563,2.0,,,,,,,9.0,5.0,5.0,4.0,29.0,93.0,91.0,8.0,,82.0,14.0,64.0,1000,0.0,1.0,0.0,0.0,0.0,1.0,0.0,medium
G21011100028002,1500000US211110028002,G2101110002800,,,,,,,,1017,188,794,0,0,35,0,696,129,487,0,0,30,50,,-321,,-59,,-307,,50,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,800.0,1195.0,750.0,1145.0,44.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,54.0,1000,,,,,,,,low
G21011100030001,1500000US211110030001,G2101110003000,,,,,,,,2216,304,1787,0,0,125,0,620,238,281,0,0,82,19,,-1596,,-66,,-1506,,19,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,1050.0,1111.0,850.0,1095.0,48.0,833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,59.0,1000,,,,,,,,low
G21011100030002,1500000US211110030002,G2101110003000,,,,,,,,1315,13,1284,0,0,18,0,1263,137,1068,0,1,57,0,,-52,,124,,-216,,0,,,,,112499.0,12843.971264367814,13611.99421965318,5.0,1626.0,1341.0,1431.0,90.0,1341.0,0.0,1315.0,33.0,937.0,625.0,872.0,230.0,642.0,0.0,545.0,211110000000.0,1037.5,1066.5,850.0,1095.0,45.0,1695.0,0.20086838612890195,-699.0,-559.0,0.16055045871559634,-0.5212527964205816,-0.39063591893780575,1.0,0.9735202492211839,-0.026479750778816147,0.03214375260081309,0.0,0.0,-0.13170182664631636,-770.0,0.0597963775749048,2.0,,,,,,,60.0,3.0,1.0,1.0,36.0,11.0,59.0,15.0,,7.0,,56.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
G21011100035011,1500000US211110035011,G2101110003501,,,,,,,,1656,831,762,0,8,47,9,2951,2196,308,0,92,219,136,,1295,,1365,,-454,,127,,,,7499.5,28386.09677419355,15852.658536585366,29999.0,27.4864672373,432.35470086780003,118.77124182,222.091152836,38.5737265452,183.5174262908,2.6300268099,142.8981233379,95.0,242.0,550.0,725.0,133.0,592.0,0.0,359.0,211110000000.0,850.0,981.0,750.0,1145.0,34.0,69.0,0.009764065335753164,408.4825737092,502.908847164,0.13024313579972419,2.225851691391543,2.264425398049808,0.6471932623542584,0.9290540540540541,0.2818607916997956,0.3289881003095624,-0.014331210191082803,-2.6300268099,-0.17224350146324663,216.1018766621,0.8923639798818079,1.0,,,,,,,2.0,4.0,100.0,31.0,100.0,85.0,56.0,10.0,,18.0,100.0,43.0,1000,0.0,1.0,0.0,0.0,0.0,1.0,0.0,medium
G21011100035021,1500000US211110035021,G2101110003502,,,,,,,,2385,665,1657,0,5,42,15,1769,205,1313,0,0,91,160,,-616,,-460,,-344,,145,,2000.0,,69776.777778,74999.0,11760.834327162647,11319.180555555555,17.513532762700002,677.6452991322,847.22875818,970.908847164,136.4262734548,834.4825737092,26.369973190099998,669.1018766620999,21.0,822.0,699.0,791.0,68.0,723.0,5.0,629.0,211110000000.0,925.0,995.0,750.0,1145.0,9.0,,-0.054546857121069145,-111.48257370919998,-179.908847164,-0.08650603470897601,-0.13359484933720062,-0.18529942093895752,1.015274356676071,0.966804979253112,-0.04846937742295887,-0.00029724485766884773,-0.02468475877557755,-21.369973190099998,0.06816969258895089,-40.101876662099926,-0.037552928586627184,1.0,,,,,,,71.0,92.0,15.0,78.0,24.0,5.0,46.0,82.0,,11.0,11.0,8.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
G21011100037001,1500000US211110037001,G2101110003700,,,,,,,,880,621,197,0,7,27,28,1006,477,350,6,0,33,140,,126,,-144,,153,,112,,,,76908.09090909091,95415.66666666667,29999.0,35999.0,72.0,1196.0,486.0,946.0,260.0,686.0,27.0,359.0,138.0,938.0,529.0,930.0,208.0,722.0,6.0,365.0,211110000000.0,762.5,1200.0,950.0,1050.0,51.0,40.0,-0.05118552365364068,36.0,-16.0,-0.05591397849462366,0.052478134110787174,-0.016913319238900635,0.7084548104956269,0.7326869806094183,0.024232170113791418,0.08692086628491559,-0.031048351275611157,-21.0,-0.017783448955363768,6.0,0.2000066668888963,2.0,,,,,,,39.0,77.0,47.0,75.0,64.0,22.0,43.0,49.0,,78.0,16.0,61.0,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.0,high
G21011100037002,1500000US211110037002,G2101110003700,,,,,,,,1011,419,415,0,46,37,94,607,206,250,0,0,54,97,,-404,,-213,,-165,,3,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,750.0,1125.0,950.0,1050.0,65.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,69.0,1000,,,,,,,,low
G21011100039001,1500000US211110039001,G2101110003900,,,,,,,,1438,740,438,0,0,15,245,567,411,12,0,0,33,111,,-871,,-329,,-426,,-134,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,762.5,1100.0,750.0,1145.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,66.0,1000,,,,,,,,low
G21011100039002,1500000US211110039002,G2101110003900,,,,,,,,687,510,117,0,0,23,37,786,296,250,0,0,180,60,,99,,-214,,133,,23,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,725.0,1050.0,750.0,1145.0,40.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,49.0,1000,,,,,,,,low
G21011100039003,1500000US211110039003,G2101110003900,,,,,,,,1872,1143,590,23,30,63,23,1986,829,1018,0,0,139,0,,114,,-314,,428,,-23,,,,72901.0979020979,86919.28985507246,33837.38383838384,39843.96124031008,163.0,2643.0,565.0,1854.0,346.0,1508.0,143.0,688.0,301.0,2003.0,775.0,1697.0,269.0,1428.0,71.0,623.0,211110000000.0,740.0,1100.0,750.0,1145.0,46.0,288.0,-0.028108490203220482,-80.0,-157.0,-0.04537418974661167,-0.05305039787798409,-0.08468176914778856,0.3746684350132626,0.5427170868347339,0.16804865182147127,0.08860224608225761,-0.04510769825171448,-72.0,-0.019958911946741542,-65.0,0.17751305569648107,3.0,,,,,,,8.0,70.0,29.0,57.0,65.0,21.0,39.0,47.0,,65.0,12.0,56.0,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.0,high
G21011100040001,1500000US211110040001,G2101110004000,,,,,,,,1032,605,313,0,0,84,30,1028,334,205,0,0,14,475,,-4,,-271,,-108,,445,,,,73391.85714285714,91665.66666666667,28351.941176470587,54511.19512195122,107.0,1299.0,366.0,840.0,136.0,704.0,67.0,390.0,144.0,1087.0,399.0,751.0,100.0,651.0,141.0,296.0,211110000000.0,750.0,1175.0,750.0,1145.0,42.0,,-0.028748969627797855,-53.0,-89.0,-0.047936085219707054,-0.07528409090909091,-0.10595238095238095,0.5198863636363636,0.6129032258064516,0.09301686217008798,0.050103646354530726,0.12141940720569754,74.0,-0.09929217288088255,-94.0,0.9226618305483196,2.0,,,,,,,19.0,74.0,24.0,58.0,52.0,86.0,95.0,26.0,,77.0,18.0,51.0,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.0,high
G21011100040002,1500000US211110040002,G2101110004000,,,,,,,,824,732,53,0,0,39,0,577,382,74,0,16,99,6,,-247,,-350,,21,,6,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,850.0,1100.0,750.0,1145.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,70.0,1000,,,,,,,,low
G21011100043011,1500000US211110043011,G2101110004301,,,,,,,,1294,635,652,0,0,7,0,954,370,560,0,0,24,0,,-340,,-265,,-92,,0,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,745.0,1195.0,750.0,1145.0,44.0,656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,54.0,1000,,,,,,,,low
G21011100043012,1500000US211110043012,G2101110004301,,,,,,,,634,92,412,5,0,16,109,620,18,343,0,182,77,0,,-14,,-74,,-69,,-109,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,649.0,1100.0,750.0,1145.0,11.0,951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,10.0,1000,,,,,,,,low
