GISJOIN_proj,GEOID,GISJOIN_CT,pop_00,pop_white_00,pop_black_00,pop_indigenous_00,pop_asian_00,pop_other_00,pop_latino_00,pop_10,pop_white_10,pop_black_10,pop_indigenous_10,pop_asian_10,pop_other_10,pop_latino_10,pop_20,pop_white_20,pop_black_20,pop_indigenous_20,pop_asian_20,pop_other_20,pop_latino_20,pop_change00_10,pop_change10_20,white_change00_10,white_change10_20,black_change00_10,black_change10_20,latino_change00_10,latino_change10_20,blackpct_ch_00_20,median_rent_10,median_rent_20,median_hv_10,median_hv_20,median_hhinc_10,median_hhinc_20,adult_college_above_10,adult_over25_10,renters_10,HU_10,HU_vacant_10,HH_10,hi_inc_hh_10,lo_inc_hh_10,adult_college_above_20,adult_over25_20,renters_20,HU_20,HU_vacant_20,HH_20,hi_inc_hh_20,lo_inc_hh_20,GEOID_bg,rent_bg_Q3_2017,rent_bg_Q3_2024,rent_ma_Q3_2017,rent_ma_Q3_2024,permits_N,affordable_units,vacancy_Ch,HH_ch,HU_ch,housing_tightness,HH_p_ch,HU_p_ch,renter_p_10,renter_p_20,renter_p_ch,college_edu,hi_inc_ch,hi_inc_ch_pop,lo_inc_ch,lo_inc_ch_pop,hhinc_ch,pop_la,all_renters_ct,renters30_ct,renters50_ct,renters60_ct,renters70_ct,renters80_ct,rank_renter_p,rank_housing_tight,rank_hh_growth,rank_vacant_ch,rank_college,rank_hhinc,rank_hi_inc,rank_lo_inc,rank_rents,rank_rents2,rank_HV,rank_permits,owner_20_ct,hi_all,med_all,h1,h2,h3,m1,m2,risk_level
G21011100002011,1500000US211110002011,G2101110000201,,,,,,,,777,551,226,0,0,0,0,592,592,0,0,0,0,0,,-185,,41,,-226,,0,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,850.0,995.0,850.0,1095.0,43.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,52.0,1000,,,,,,,,low
G21011100002012,1500000US211110002012,G2101110000201,,,,,,,,647,479,147,0,0,0,21,691,365,293,0,0,33,0,,44,,-114,,146,,-21,,,,55482.87096774193,40713.28571428572,24217.75,33051.63157894737,17.0,865.0,370.0,760.0,184.0,576.0,25.0,339.0,90.0,752.0,258.0,772.0,238.0,534.0,0.0,304.0,211110000000.0,849.5,1000.0,850.0,1095.0,32.0,117.0,0.06618489228251975,-42.0,12.0,0.06994818652849741,-0.07291666666666667,0.015789473684210527,0.6423611111111112,0.48314606741573035,-0.1592150436953808,0.10002767187307834,-0.043402777777777776,-25.0,-0.019253277153558068,-35.0,0.3647688814587386,2.0,,,,,,,98.0,16.0,26.0,13.0,72.0,45.0,40.0,48.0,,20.0,4.0,41.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
G21011100002021,1500000US211110002021,G2101110000202,,,,,,,,1627,1281,314,0,0,16,16,929,781,74,0,0,30,44,,-698,,-500,,-240,,28,,,,35656.89473684211,47172.91304347826,21469.58823529412,23230.70731707317,8.0,1025.0,219.0,537.0,89.0,448.0,0.0,290.0,121.0,720.0,130.0,519.0,176.0,343.0,40.0,252.0,,,,,,54.0,75.0,0.17337811218393773,-105.0,-18.0,0.1676300578034682,-0.234375,-0.0335195530726257,0.4888392857142857,0.37900874635568516,-0.10983053935860054,0.16025067750677507,0.11661807580174927,40.0,0.08737244897959184,-38.0,0.08202854486440159,1.0,,,,,,,92.0,2.0,2.0,3.0,91.0,12.0,94.0,88.0,,,31.0,63.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
G21011100006001,1500000US211110006001,G2101110000600,,,,,,,,1241,139,977,0,0,125,0,1033,51,910,0,0,0,72,,-208,,-88,,-67,,72,,,,61064.57377049181,64037.46153846154,22186.5,30684.483870967742,69.0,990.0,449.0,945.0,297.0,648.0,28.0,388.0,42.0,1065.0,493.0,914.0,223.0,691.0,49.0,418.0,211110000000.0,825.0,1095.0,850.0,1095.0,53.0,449.0,-0.07030321975617379,43.0,-31.0,-0.08096280087527352,0.06635802469135803,-0.0328042328042328,0.6929012345679012,0.7134587554269175,0.0205575208590163,-0.03026034997865984,0.027701845598613564,21.0,0.006154973111075379,30.0,0.38302498685992575,2.0,,,,,,,43.0,90.0,53.0,87.0,15.0,47.0,72.0,61.0,,40.0,8.0,63.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
G21011100006002,1500000US211110006002,G2101110000600,,,,,,,,601,20,496,8,0,77,0,296,17,251,0,0,28,0,,-305,,-3,,-245,,0,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,800.0,1102.5,850.0,1095.0,75.0,380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,75.0,1000,,,,,,,,low
G21011100008001,1500000US211110008001,G2101110000800,,,,,,,,1129,0,1126,0,0,3,0,1130,9,1109,0,0,8,4,,1,,9,,-17,,4,,,,90185.5671641791,119299.0,26032.834586466164,42710.86440677966,182.0,1464.0,374.0,919.0,36.0,883.0,117.0,591.0,339.0,1361.0,347.0,992.0,70.0,922.0,102.0,369.0,211110000000.0,800.0,1152.5,850.0,1095.0,84.0,73.0,0.031391501983221604,39.0,73.0,0.034274193548387094,0.044167610419026046,0.0794341675734494,0.42355605889014725,0.37635574837310193,-0.04720031051704532,0.12476461778746742,-0.02187376401195884,-15.0,-0.26909225353323685,-222.0,0.6406536239808476,2.0,,,,,,,68.0,22.0,45.0,21.0,86.0,70.0,50.0,3.0,,57.0,30.0,76.0,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.0,high
G21011100008003,1500000US211110008003,G2101110000800,,,,,,,,1166,20,1139,0,0,7,0,791,182,594,4,0,6,5,,-375,,162,,-545,,5,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,825.0,1170.0,850.0,1095.0,68.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,72.0,1000,,,,,,,,low
G21011100009001,1500000US211110009001,G2101110000900,,,,,,,,1166,48,1118,0,0,0,0,1021,43,888,0,0,90,0,,-145,,-5,,-230,,0,,,,76594.74468085106,102172.91304347826,25534.714285714286,25804.084745762713,159.0,1488.0,445.0,1025.0,192.0,833.0,116.0,468.0,131.0,1216.0,475.0,981.0,210.0,771.0,96.0,563.0,211110000000.0,700.0,1150.0,850.0,1095.0,115.0,97.0,0.02675020511673007,-62.0,-44.0,0.01834862385321101,-0.0744297719087635,-0.042926829268292686,0.5342136854741897,0.6160830090791181,0.08186932360492838,0.0008754244482173101,-0.014742083603869555,-20.0,0.16839576297445047,95.0,0.010549186375628636,2.0,,,,,,,22.0,29.0,25.0,23.0,25.0,8.0,54.0,97.0,,89.0,34.0,88.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
G21011100009002,1500000US211110009002,G2101110000900,,,,,,,,1012,47,915,0,0,50,0,941,16,848,2,0,75,0,,-71,,-31,,-67,,0,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,700.0,1152.5,850.0,1095.0,89.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,80.0,1000,,,,,,,,low
G21011100010001,1500000US211110010001,G2101110001000,,,,,,,,535,19,455,0,0,61,0,679,0,679,0,0,0,0,,144,,-19,,224,,0,,,,,,,,,,,,,,,,,,,,,,,,211110000000.0,775.0,1100.0,750.0,1145.0,84.0,297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,76.0,1000,,,,,,,,low
